Time (sec),GHF0.3,GHF0.9,GHF1.5,GHF2.1,TGas0.3,Tgas0.9,Tgas1.5,Tgas2.1
176.9,153.7233736,82.36744992,50.68869199,29.63541572,1162.853882,985.7571648,800.8496085,637.5483365
177,153.5037996,82.12541266,51.21449497,29.59028723,1162.965255,985.7871892,801.0004903,637.7456078
177.1,153.2842256,81.89835381,51.74029796,29.54515873,1163.076627,985.8172136,801.1506193,637.9428792
177.2,153.0646516,81.67169984,52.20737661,29.50003023,1163.188,985.847238,801.1821935,638.1401506
177.3,152.8450776,81.44504588,51.82984708,29.45490174,1163.299373,985.8772624,801.2137677,638.337422
177.4,152.6255036,81.21839191,51.45231755,29.40977324,1163.410745,985.9072868,801.2453419,638.5346933
177.5,152.4059296,80.99173794,51.07478802,29.36464475,1163.522118,985.9305097,801.2769162,638.664971
177.6,152.1863557,80.76508397,50.69725848,29.31951625,1163.633491,985.6444124,801.3084904,638.7833689
177.7,151.9667817,80.66311391,50.31972895,29.27438776,1163.744863,985.3583151,801.3400646,638.9017667
177.8,151.7472077,81.23065359,49.94219942,29.22925926,1163.856236,985.0722178,801.3716388,639.0201646
177.9,151.5276337,81.79819328,49.56466989,29.18413076,1163.967609,984.7861205,801.4032131,639.1385624
178,151.3080597,82.36573296,49.18714036,29.13900227,1164.078981,984.5000232,801.4347873,639.2569603
178.1,151.0884857,82.93327264,48.80961083,29.09387377,1164.190354,984.213926,801.4663615,639.3753581
178.2,150.8689117,83.50081232,48.4320813,29.04874528,1164.301727,983.9278287,801.4979357,639.4937559
178.3,150.6493377,84.06835201,48.05455177,29.00361678,1164.413099,983.6417314,801.52951,639.6121538
178.4,146.2170308,84.63589169,47.85785353,28.95848828,1164.524472,983.3556341,801.5610842,639.7305516
178.5,145.9173747,85.20343137,48.01169951,28.91335979,1164.635845,983.0695368,801.5926584,639.8489495
178.6,145.6177186,85.77097106,48.16554548,28.86823129,1164.747218,982.7834395,801.6242327,639.9673473
178.7,145.3180626,86.03388189,48.31939145,28.8231028,1164.85859,982.4973422,801.6558069,640.0857452
178.8,145.2979742,85.87415966,48.47323742,28.80072583,1164.969963,982.211245,801.6873811,640.204143
178.9,146.1152663,85.71443744,48.62708339,28.84649581,1165.081336,981.9251477,801.7189553,640.3225408
179,146.9325584,85.55471522,48.78092936,28.8922658,1165.192708,981.6390504,801.7505296,640.4409387
179.1,147.7498504,85.394993,48.93477533,28.93803578,1165.304081,981.3529531,801.7821038,640.5593365
179.2,148.5671425,85.23527077,49.0886213,28.98380576,1165.415454,981.0668558,801.813678,640.6777344
179.3,149.3844345,85.07554855,49.24246727,29.02957574,1165.526826,980.7807585,801.8452522,640.7961322
179.4,150.2017266,84.91582633,49.39631324,29.07534572,1163.574813,980.4946613,801.8768265,640.91453
179.5,151.0190187,84.75610411,49.55015921,29.1211157,1144.224082,980.208564,801.9084007,641.0329279
179.6,151.8363107,84.59638189,49.70400518,29.16688568,1143.898816,979.9224667,801.9399749,641.1513257
179.7,152.6536028,84.43665966,49.85785115,29.21265566,1143.57355,979.6363694,801.9715491,641.2697236
179.8,153.4708949,84.27693744,50.01169712,29.25842564,1143.248284,979.3502721,802.0031234,641.3881214
179.9,154.2881869,84.11721522,50.16554309,29.30419562,1142.923019,979.0641748,802.0346976,641.5065193
180,155.105479,83.957493,50.31938906,29.3499656,1142.597753,978.7780776,802.0662718,641.6249171
180.1,155.9227711,83.79777077,50.47323503,29.39573558,1142.272487,978.6634233,802.0978461,641.7433149
180.2,156.6622216,83.63804855,50.627081,29.44150556,1141.947221,978.7314184,802.1294203,641.8617128
180.3,157.3533367,83.47832633,50.78092697,29.48727554,1141.621955,978.7994135,802.1609945,641.9801106
180.4,158.0444518,83.31860411,50.80544079,29.53304552,1141.29669,978.8674085,802.1925687,642.0985085
180.5,158.7355668,83.15888189,50.49701253,29.5788155,1140.971424,978.9354036,801.9582912,642.2169063
180.6,159.4266819,82.99915966,50.18858427,29.62458548,1140.646158,979.0033987,801.7017324,642.3353042
180.7,160.117797,82.83943744,49.88015601,29.67035546,1140.320892,979.0713938,801.4451736,642.453702
180.8,160.8089121,82.67971522,49.57172776,29.71612544,1139.995626,979.1393889,801.1886148,642.5720998
180.9,161.5000272,82.519993,49.2632995,29.76189542,1139.670361,979.207384,800.932056,642.6729964
181,162.1911422,82.97994859,48.95487124,29.80766541,1139.345095,979.2753791,800.6754972,642.754827
181.1,162.5505681,83.57005626,48.64644298,29.85343539,1139.019829,979.3433742,800.4189384,642.8366576
181.2,162.0055351,84.16016393,48.33801473,29.89920537,1138.694563,979.4113693,800.1623796,642.9184882
181.3,161.460502,84.7502716,48.02958647,29.94497535,1138.369297,979.4793644,799.9058209,643.0003188
181.4,160.9154689,85.34037926,47.72115821,29.99074533,1138.044032,979.5473595,799.6492621,643.0821494
181.5,160.3704359,85.93048693,47.41272995,30.03651531,1137.718766,979.6153546,799.3927033,643.1639799
181.6,159.8254028,86.5205946,47.1043017,30.08228529,1137.589121,979.6833497,799.1361445,643.2458105
181.7,159.2803697,87.11070227,47.15838183,30.12805527,1139.286981,979.7513448,798.8795857,643.3276411
181.8,158.9074074,87.70080994,47.3370959,30.17382525,1140.98484,979.8193399,798.6230269,643.4094717
181.9,159.0322338,88.29091761,47.51580996,30.21264388,1142.6827,979.8873349,798.3664681,643.4913023
182,159.1570602,88.88102528,47.69452403,30.21659018,1144.380559,979.95533,798.1099094,643.5731329
182.1,159.2818866,89.47113295,47.87323809,30.22053648,1146.078419,980.0233251,797.8533506,643.6549635
182.2,159.406713,90.06124062,48.05195216,30.22448279,1147.776279,980.0913202,797.5967918,643.7367941
182.3,159.5315394,89.37241176,48.23066622,30.22842909,1149.474138,980.1593153,797.340233,643.8186247
182.4,159.6563657,88.53225621,48.40938029,30.23237539,1151.171998,980.2273104,797.0836742,643.9004553
182.5,159.7811921,87.69210065,48.58809435,30.23632169,1152.869857,980.2953055,796.8271154,643.9822859
182.6,159.9060185,86.8519451,48.76680842,30.24026799,1154.567717,980.3633006,796.5705566,644.0641165
182.7,160.0308449,86.01178954,48.94552248,30.2442143,1156.265576,980.4312957,796.3139978,644.1459471
182.8,160.1556713,85.34713624,49.12423655,30.2481606,1157.963436,980.4992908,796.0574391,644.2277776
182.9,160.2804977,84.90508267,49.30295061,30.2521069,1159.661295,980.5672859,795.8008803,644.3096082
183,160.4053241,84.4630291,49.48166468,30.2560532,1163.810255,980.6077747,795.5443215,644.3914388
183.1,160.5301505,84.02097553,49.66037874,30.2599995,1168.532405,980.4723413,795.2877627,644.4732694
183.2,160.6549769,83.57892196,49.83909281,30.26394581,1173.254556,980.336908,795.0312039,644.5551
183.3,160.7798032,83.13686839,50.01780687,30.26789211,1175.538321,980.2014746,794.7746451,644.6369306
183.4,160.9046296,82.69481481,50.19652094,30.27183841,1175.01328,980.0660412,794.5180863,644.7187612
183.5,161.029456,82.25276124,50.02568845,30.27578471,1174.488239,979.9306079,794.2615275,644.8005918
183.6,161.1542824,81.81070767,49.81464401,30.27973101,1173.963198,979.7951745,794.0049688,644.8824224
183.7,161.2791088,81.3686541,49.60359956,30.28367731,1173.438157,979.6597411,793.74841,644.964253
183.8,161.4039352,80.92660053,49.39255512,30.28762362,1172.913116,979.5243078,805.9704234,645.0460836
183.9,161.5287616,80.48454696,49.18151068,30.29156992,1172.388075,979.3888744,805.656823,645.1279142
184,161.3892961,80.04249339,48.97046623,30.29551622,1171.863034,979.253441,805.3432226,645.2097448
184.1,160.9181718,79.60043981,48.75942179,30.29946252,1171.337993,979.1180077,805.0296222,645.2915753
184.2,160.4470474,79.15838624,48.54837734,30.30340882,1170.812952,978.9825743,804.7160218,645.3734059
184.3,159.9759231,79.4686222,48.3373329,30.30735513,1170.287911,978.847141,804.4024214,645.3456965
184.4,159.5047987,80.0760726,48.12628845,30.31130143,1169.76287,978.7117076,804.088821,645.2714152
184.5,159.0336744,80.68352299,47.91524401,30.31524773,1169.237829,978.5762742,803.7752206,645.1971338
184.6,158.5625501,81.29097339,47.70419956,30.31919403,1168.712788,978.4408409,803.4616202,645.1228525
184.7,158.0914257,81.89842379,47.49315512,30.32314033,1168.187747,978.3054075,803.1480198,645.0485712
184.8,157.6203014,82.50587418,47.34678464,30.32708664,1167.662706,978.1699741,802.8344193,644.9742899
184.9,157.0944606,83.01801104,47.38122346,30.33103294,1167.137665,978.0345408,802.5208189,644.9000086
185,156.0466511,83.49273511,47.41566228,30.33497924,1166.612624,977.8991074,802.2072185,644.8257273
185.1,154.9988416,83.96745918,47.4501011,30.33892554,1166.087583,977.763674,801.8936181,644.7514459
185.2,153.9510321,84.44218325,47.48453992,30.34287184,1165.562542,977.6282407,801.5800177,644.6771646
185.3,152.9032225,84.91690731,47.51897874,30.34681815,1165.037501,977.4928073,801.2664173,644.6028833
185.4,151.855413,85.39163138,47.55341756,30.35076445,1164.51246,977.3573739,800.9528169,644.528602
185.5,150.8076035,85.86635545,47.58785637,30.35471075,1163.987419,977.2219406,800.6392165,644.4543207
185.6,149.759794,86.34107952,47.62229519,30.35865705,1163.462378,977.0865072,800.3256161,644.3800394
185.7,148.7119844,86.81580359,47.65673401,30.36260335,1162.937337,976.9510738,800.0120157,644.305758
185.8,147.6641749,87.29052765,47.69117283,31.81225471,1162.412296,976.8156405,799.6984153,644.2314767
185.9,146.6163654,87.76525172,47.72561165,31.74170894,1161.887255,976.6802071,799.3848149,644.1571954
186,145.5685559,88.23997579,47.76005047,31.67116317,1161.362214,976.5447738,799.0712145,644.0829141
186.1,145.4170957,87.90669027,47.79448929,31.6006174,1160.837173,976.4093404,798.757614,644.0086328
186.2,146.560138,87.56805299,47.8289281,31.53007163,1160.312132,976.273907,798.4440136,643.9343515
186.3,147.7031803,87.22941571,47.86336692,31.45952586,1159.810953,976.1384737,798.1304132,643.8600701
186.4,148.8462226,86.89077843,47.89780574,31.38898009,1159.419809,976.0030403,797.8168128,643.7857888
186.5,150.1744398,86.55214115,47.93224456,31.31843431,1159.028665,975.8223129,797.5032124,643.7115075
186.6,151.5224556,86.21350387,47.96668338,31.24788854,1158.637522,975.6287104,797.189612,643.6372262
186.7,152.8704715,85.87486659,48.0011222,31.17734277,1158.246378,975.4351079,796.8760116,643.5629449
186.8,154.2184874,85.53622931,48.03556102,31.106797,1157.855234,975.2415055,796.5624112,643.4886635
186.9,154.6496405,85.19759203,48.06999983,31.03625123,1157.46409,975.047903,796.2488108,643.4143822
187,153.4433707,84.85895475,48.10443865,30.96570546,1157.072946,974.8543006,795.9352104,643.3401009
187.1,152.2371008,82.99285777,48.13887747,30.89515969,1156.681803,974.6606981,795.8378557,643.2658196
187.2,151.030831,80.96590538,48.17331629,30.82461392,1156.290659,974.4670957,795.8031185,643.1915383
187.3,149.8245612,80.63897967,48.20775511,30.75406815,1155.899515,974.2734932,795.7683814,643.117257
187.4,148.6182913,80.96212781,48.24219393,30.68352238,1155.508371,974.0798907,795.7336443,643.0429756
187.5,147.4120215,81.28527596,48.27663275,30.61297661,1155.117227,973.8862883,795.6989071,642.9686943
187.6,146.2057516,81.60842411,48.31107156,30.54243084,1154.726084,973.6926858,795.66417,642.8949786
187.7,144.9994818,81.93157226,48.34551038,30.47188506,1154.33494,973.4990834,795.6294328,642.8216002
187.8,144.9491783,82.25472041,48.3799492,30.40133929,1153.943796,973.3054809,795.5946957,642.7482218
187.9,148.0237021,82.57786855,48.28262191,30.33079352,1153.552652,973.1118785,795.5599586,642.6748434
188,151.098226,82.9010167,48.04869013,30.26024775,1153.161508,972.918276,795.5252214,642.601465
188.1,154.1727498,83.13446804,47.81475836,30.18970198,1152.770365,972.7246735,795.4904843,642.5280866
188.2,157.2472736,83.29253843,47.58082659,30.11915621,1152.379221,972.5310711,795.4557471,642.4547081
188.3,158.8275915,83.45060881,47.34689481,30.04861044,1151.988077,972.3374686,795.42101,642.3813297
188.4,159.3939486,83.6086792,47.11296304,29.97806467,1151.596933,972.1438662,795.3862729,642.3079513
188.5,159.9603058,83.76674958,46.87903127,29.9075189,1151.20579,971.9502637,795.3515357,642.2345729
188.6,160.5266629,83.92481997,46.61236645,29.83697313,1150.814646,971.7566613,795.3167986,642.1611945
188.7,161.0930201,84.08289036,46.01478203,29.76642736,1150.423502,971.5630588,795.2820615,642.0878161
188.8,161.6593772,84.24096074,45.41719762,29.69588159,1150.032358,971.3694563,795.2473243,642.0144377
188.9,161.8383067,84.39903113,44.8196132,29.62533581,1149.641214,971.1758539,795.2125872,641.9410593
189,161.3383609,84.55710152,44.22202878,29.55479004,1149.370097,970.9822514,795.17785,641.8676809
189.1,160.838415,84.7151719,43.62444437,29.51431202,1149.620471,970.9468135,795.1431129,641.7943025
189.2,160.3384692,84.87324229,43.02685995,29.49888039,1149.870844,971.105932,795.1083758,641.7209241
189.3,159.8385234,85.03131268,42.42927554,29.48344875,1150.121217,971.2650504,795.0736386,641.6475457
189.4,159.3385775,85.18938306,41.83169112,29.46801712,1150.37159,971.4241688,795.0389015,641.5741673
189.5,158.8386317,85.34745345,41.23410671,29.45258549,1150.621964,971.5832872,795.0041643,641.5007889
189.6,158.3386858,85.50552383,40.71801436,29.43715385,1150.872337,971.7424057,794.9694272,641.4274105
189.7,157.83874,85.66359422,41.00424284,29.42172222,1151.12271,971.9015241,794.9346901,641.3540321
189.8,157.3387941,85.82166461,41.29047132,29.40629058,1151.373083,972.0606425,794.8999529,641.2806537
189.9,156.8388483,85.97973499,41.57669981,29.39085895,1151.623456,972.2197609,794.8652158,641.2072753
190,156.3389024,86.13780538,41.86292829,29.37542731,1151.87383,972.3788794,794.8304787,641.1338969
190.1,155.8389566,86.29587577,42.14915677,29.35999568,1152.124203,972.5379978,794.7957415,641.0605185
190.2,155.3390107,86.45394615,42.43538525,29.34456404,1152.374576,972.6971162,794.7610044,640.98714
190.3,154.8390649,86.61201654,42.72161373,29.32913241,1152.624949,972.8562347,794.7262672,640.9137616
190.4,154.3391191,86.77008693,43.00784222,29.31370077,1152.875323,973.0153531,794.7166237,640.8403832
190.5,154.6850118,86.92815731,43.2940707,29.29826914,1153.125696,973.1744715,794.7178868,640.7670048
